train | 1:7.67097 | 2:5.14397 | 3:5.20380
train | 1:7.54399 | 2:5.23614 | 3:5.32029
train | 1:7.48209 | 2:4.97028 | 3:4.97621
train | 1:7.63042 | 2:5.10849 | 3:5.11180
train | 1:7.57421 | 2:5.10412 | 3:5.18307
train | 1:7.55521 | 2:4.96546 | 3:5.06928
train | 1:7.40697 | 2:5.07496 | 3:5.13259
train | 1:7.60744 | 2:5.23238 | 3:5.36390
train | 1:7.42121 | 2:4.96725 | 3:5.03700
train | 1:7.39948 | 2:5.11749 | 3:5.20712
train | 1:7.58984 | 2:5.21746 | 3:5.36862
train | 1:7.53213 | 2:5.33619 | 3:5.44181
train | 1:7.60058 | 2:5.07213 | 3:5.12299
train | 1:7.43783 | 2:5.02449 | 3:5.11493
train | 1:7.48769 | 2:5.10333 | 3:5.18251
train | 1:7.60162 | 2:5.19906 | 3:5.29644
train | 1:7.39350 | 2:4.96480 | 3:5.09542
train | 1:7.20475 | 2:4.91392 | 3:4.98008
train | 1:7.09483 | 2:4.76752 | 3:4.75932
train | 1:7.50057 | 2:5.04617 | 3:5.10284
train | 1:7.24584 | 2:4.83137 | 3:4.91357
train | 1:7.47548 | 2:5.07141 | 3:5.19474
train | 1:7.49884 | 2:5.16832 | 3:5.24806
train | 1:7.21831 | 2:4.90107 | 3:4.98462
train | 1:7.64671 | 2:5.31807 | 3:5.45493
train | 1:7.23707 | 2:4.93668 | 3:5.06915
train | 1:7.28498 | 2:4.96631 | 3:5.01011
train | 1:7.47998 | 2:5.13350 | 3:5.24793
train | 1:7.22051 | 2:5.08119 | 3:5.16407
train | 1:7.60119 | 2:5.10337 | 3:5.19513
train | 1:7.21487 | 2:4.91812 | 3:4.96208
train | 1:7.59728 | 2:5.10739 | 3:5.23835
train | 1:7.43671 | 2:4.96790 | 3:5.01638
train | 1:7.16195 | 2:4.83711 | 3:4.94373
train | 1:7.36796 | 2:4.92397 | 3:4.96600
train | 1:7.31237 | 2:4.70133 | 3:4.82162
val | 1:7.24441 | 2:5.03040 | 3:5.15336
train | 1:7.42970 | 2:4.83621 | 3:4.93308
train | 1:7.32750 | 2:4.92032 | 3:5.00053
train | 1:7.26442 | 2:4.93418 | 3:5.05283
train | 1:7.23984 | 2:4.87515 | 3:4.99217
train | 1:7.44939 | 2:5.16557 | 3:5.23988
train | 1:7.30126 | 2:4.79948 | 3:4.84792
train | 1:7.26474 | 2:4.95294 | 3:5.01193
train | 1:7.33941 | 2:4.85487 | 3:4.90663
train | 1:7.17478 | 2:4.83720 | 3:4.95615
train | 1:7.26822 | 2:4.85913 | 3:4.93397
train | 1:7.23821 | 2:5.04395 | 3:5.15689
train | 1:7.03960 | 2:4.72866 | 3:4.81842
train | 1:7.29067 | 2:4.83383 | 3:4.96666
train | 1:7.38685 | 2:4.75163 | 3:4.84457
train | 1:7.28254 | 2:5.06665 | 3:5.12624
train | 1:7.33586 | 2:4.93334 | 3:5.02496
train | 1:6.97800 | 2:4.71137 | 3:4.80788
train | 1:7.19433 | 2:4.72347 | 3:4.81665
train | 1:7.14432 | 2:4.60487 | 3:4.68739
train | 1:7.14019 | 2:4.85962 | 3:4.97363
train | 1:7.08989 | 2:4.84365 | 3:4.94599
train | 1:7.63437 | 2:5.14360 | 3:5.29208
train | 1:7.16006 | 2:4.86136 | 3:4.98092
train | 1:7.25340 | 2:5.01817 | 3:5.14050
train | 1:7.19452 | 2:4.84441 | 3:4.94509
train | 1:7.21183 | 2:4.97695 | 3:5.08658
train | 1:7.20377 | 2:4.94958 | 3:5.03299
train | 1:7.29022 | 2:4.80858 | 3:5.01407
train | 1:7.34401 | 2:4.89884 | 3:5.08163
train | 1:7.59271 | 2:5.09355 | 3:5.24878
train | 1:6.98780 | 2:4.70215 | 3:4.87614
train | 1:7.08736 | 2:4.88012 | 3:4.94219
train | 1:7.17595 | 2:4.70616 | 3:4.80626
train | 1:7.30848 | 2:4.99181 | 3:5.04914
train | 1:7.12100 | 2:4.86091 | 3:4.96886
train | 1:7.15677 | 2:4.81152 | 3:4.94136
train | 1:7.16008 | 2:4.76643 | 3:4.89053
train | 1:7.03381 | 2:4.97961 | 3:5.14634
train | 1:7.03817 | 2:4.97947 | 3:5.09541
train | 1:7.08355 | 2:4.89515 | 3:4.94800
train | 1:7.08877 | 2:4.55748 | 3:4.74052
train | 1:7.14678 | 2:4.79402 | 3:4.88505
train | 1:7.41455 | 2:5.03259 | 3:5.14323
train | 1:7.22065 | 2:5.03791 | 3:5.12504
train | 1:7.11043 | 2:4.79919 | 3:4.98170
train | 1:7.04960 | 2:4.81199 | 3:4.91238
