train | 1:6.52019 | 2:3.72681 | 3:4.10016
train | 1:6.50251 | 2:3.70835 | 3:4.08652
train | 1:6.48314 | 2:3.82224 | 3:4.33262
train | 1:6.42300 | 2:3.60292 | 3:4.08545
train | 1:6.29636 | 2:3.69192 | 3:4.11742
train | 1:6.43410 | 2:3.82176 | 3:4.22880
train | 1:6.27369 | 2:3.42665 | 3:3.77393
train | 1:6.40113 | 2:3.75512 | 3:4.15462
train | 1:6.29304 | 2:3.56163 | 3:3.99590
train | 1:6.18449 | 2:3.44415 | 3:3.77167
train | 1:6.49795 | 2:3.99089 | 3:4.29929
train | 1:6.23825 | 2:3.53105 | 3:3.90461
train | 1:6.23086 | 2:3.50790 | 3:3.85420
train | 1:6.21317 | 2:3.73323 | 3:4.08922
train | 1:6.28675 | 2:3.83800 | 3:4.17909
train | 1:6.16320 | 2:3.48034 | 3:3.81830
train | 1:6.18359 | 2:3.53508 | 3:3.85166
train | 1:6.23385 | 2:3.70652 | 3:4.02316
train | 1:6.32593 | 2:3.90516 | 3:4.18788
train | 1:6.17140 | 2:3.75542 | 3:4.09452
train | 1:6.05706 | 2:3.48880 | 3:3.80607
train | 1:6.12260 | 2:3.76828 | 3:4.09473
train | 1:5.85521 | 2:3.42358 | 3:3.75844
train | 1:6.07872 | 2:3.59080 | 3:3.90500
train | 1:6.13704 | 2:3.79954 | 3:4.10359
train | 1:5.97060 | 2:3.47120 | 3:3.72156
train | 1:5.97370 | 2:3.55838 | 3:3.87077
train | 1:6.07151 | 2:3.71390 | 3:4.04235
train | 1:5.74372 | 2:3.32192 | 3:3.62292
train | 1:5.80271 | 2:3.35996 | 3:3.63939
train | 1:5.83027 | 2:3.47362 | 3:3.76761
train | 1:5.85480 | 2:3.54844 | 3:3.87904
train | 1:5.79376 | 2:3.51560 | 3:3.83793
train | 1:5.86106 | 2:3.61940 | 3:3.93740
train | 1:5.90319 | 2:3.75274 | 3:4.08125
train | 1:5.85472 | 2:3.61105 | 3:3.91493
train | 1:5.83086 | 2:3.66474 | 3:3.97260
train | 1:5.70495 | 2:3.54695 | 3:3.85232
train | 1:5.69153 | 2:3.47785 | 3:3.77037
train | 1:5.79987 | 2:3.81748 | 3:4.10786
train | 1:5.66531 | 2:3.55480 | 3:3.85394
train | 1:5.51403 | 2:3.51573 | 3:3.81308
train | 1:5.62620 | 2:3.45089 | 3:3.73986
train | 1:5.66969 | 2:3.70976 | 3:4.06388
train | 1:5.60264 | 2:3.56770 | 3:3.88794
train | 1:5.38963 | 2:3.35377 | 3:3.64374
train | 1:5.68849 | 2:3.73880 | 3:4.05474
train | 1:5.31945 | 2:3.23516 | 3:3.54221
train | 1:5.36435 | 2:3.48624 | 3:3.85104
train | 1:5.61709 | 2:3.63728 | 3:3.98188
train | 1:5.47247 | 2:3.42073 | 3:3.73884
train | 1:5.48739 | 2:3.44994 | 3:3.76937
train | 1:5.35998 | 2:3.53067 | 3:3.84942
train | 1:5.42563 | 2:3.48446 | 3:3.83800
train | 1:5.29868 | 2:3.37962 | 3:3.67452
train | 1:5.33503 | 2:3.52652 | 3:3.86443
train | 1:5.47574 | 2:3.47587 | 3:3.81628
train | 1:5.23004 | 2:3.14095 | 3:3.45168
train | 1:5.33522 | 2:3.45349 | 3:3.78707
train | 1:5.40513 | 2:3.51644 | 3:3.78389
train | 1:5.39412 | 2:3.52744 | 3:3.82831
train | 1:5.11072 | 2:3.28398 | 3:3.58748
train | 1:5.27073 | 2:3.44932 | 3:3.77373
train | 1:5.10711 | 2:3.31149 | 3:3.62045
train | 1:5.18697 | 2:3.33493 | 3:3.65203
train | 1:5.40226 | 2:3.72879 | 3:3.98892
train | 1:5.20171 | 2:3.55836 | 3:3.85877
train | 1:5.22970 | 2:3.39143 | 3:3.69041
train | 1:5.19481 | 2:3.38488 | 3:3.65714
train | 1:4.92455 | 2:3.16217 | 3:3.46481
train | 1:5.26122 | 2:3.63889 | 3:3.99466
train | 1:5.10605 | 2:3.54603 | 3:3.91558
train | 1:5.01916 | 2:3.28107 | 3:3.53358
train | 1:5.05770 | 2:3.36887 | 3:3.67920
train | 1:5.04852 | 2:3.45705 | 3:3.77685
train | 1:4.97965 | 2:3.33872 | 3:3.65385
train | 1:4.98657 | 2:3.43840 | 3:3.66272
train | 1:4.91479 | 2:3.29208 | 3:3.61335
train | 1:5.12469 | 2:3.65117 | 3:3.95279
train | 1:5.15800 | 2:3.63731 | 3:3.97133
train | 1:5.04651 | 2:3.50620 | 3:3.85678
train | 1:5.04599 | 2:3.59379 | 3:3.87969
train | 1:5.04491 | 2:3.52599 | 3:3.79905
train | 1:4.97760 | 2:3.52008 | 3:3.78066
train | 1:4.80827 | 2:3.19078 | 3:3.48504
train | 1:4.86581 | 2:3.41010 | 3:3.73068
train | 1:4.94486 | 2:3.50568 | 3:3.85044
train | 1:4.83243 | 2:3.33743 | 3:3.61868
train | 1:4.77296 | 2:3.37550 | 3:3.72374
train | 1:5.05026 | 2:3.71572 | 3:3.98402
train | 1:4.74539 | 2:3.26015 | 3:3.55429
train | 1:4.91444 | 2:3.56472 | 3:3.88886
train | 1:4.72665 | 2:3.25805 | 3:3.52690
train | 1:4.68570 | 2:3.37018 | 3:3.67263
train | 1:4.79440 | 2:3.39956 | 3:3.67197
train | 1:4.84839 | 2:3.57667 | 3:3.84976
train | 1:4.77418 | 2:3.36327 | 3:3.67365
train | 1:4.70923 | 2:3.46783 | 3:3.83556
train | 1:4.98875 | 2:3.80835 | 3:4.11773
train | 1:4.78978 | 2:3.62102 | 3:3.89093
train | 1:4.55016 | 2:3.29884 | 3:3.60261
train | 1:4.72080 | 2:3.46895 | 3:3.79706
train | 1:4.63531 | 2:3.47327 | 3:3.77379
train | 1:4.52356 | 2:3.26140 | 3:3.53882
train | 1:4.68223 | 2:3.48301 | 3:3.81822
train | 1:4.76221 | 2:3.55585 | 3:3.81986
train | 1:4.42962 | 2:3.13925 | 3:3.46112
train | 1:4.69115 | 2:3.47646 | 3:3.76179
train | 1:4.70688 | 2:3.59294 | 3:3.88339
train | 1:4.41742 | 2:3.26408 | 3:3.54775
