0 val 1:10.98923397064209 | 2:9.885680198669434
271 train 1:-6.260279655456543 | 2:-6.435853958129883
272 train 1:-6.33167839050293 | 2:-6.521828651428223
273 train 1:-6.017719268798828 | 2:-6.270447731018066
274 train 1:-6.266839027404785 | 2:-6.495630264282227
275 train 1:-6.209646701812744 | 2:-6.4463114738464355
276 train 1:-6.558403968811035 | 2:-6.625949382781982
277 train 1:-6.217820167541504 | 2:-6.460858345031738
278 train 1:-6.273976802825928 | 2:-6.5384979248046875
279 train 1:-6.274744510650635 | 2:-6.484467506408691
280 train 1:-6.183435916900635 | 2:-6.3760294914245605
281 train 1:-6.3155364990234375 | 2:-6.46933650970459
282 train 1:-6.472288608551025 | 2:-6.657569885253906
283 train 1:-6.326727390289307 | 2:-6.529541015625
284 train 1:-6.372294902801514 | 2:-6.5199151039123535
285 train 1:-6.345714092254639 | 2:-6.54151725769043
286 train 1:-6.23231840133667 | 2:-6.37917423248291
287 train 1:-6.285144329071045 | 2:-6.502143859863281
288 train 1:-6.3780517578125 | 2:-6.5970048904418945
289 train 1:-6.284839153289795 | 2:-6.505460262298584
290 train 1:-6.181419849395752 | 2:-6.390766620635986
291 train 1:-6.11648416519165 | 2:-6.3990936279296875
292 train 1:-6.0858845710754395 | 2:-6.3422980308532715
293 train 1:-6.142858982086182 | 2:-6.4272308349609375
294 train 1:-6.261265277862549 | 2:-6.446807861328125
295 train 1:-6.163518905639648 | 2:-6.395092964172363
296 train 1:-6.180926322937012 | 2:-6.462769508361816
297 train 1:-6.166298866271973 | 2:-6.418092727661133
298 train 1:-6.0760297775268555 | 2:-6.305698394775391
299 train 1:-6.32957649230957 | 2:-6.557555675506592
300 train 1:-6.3320536613464355 | 2:-6.540553092956543
301 train 1:-6.5695953369140625 | 2:-6.675801753997803
302 train 1:-6.113742351531982 | 2:-6.422770023345947
303 train 1:-6.153202056884766 | 2:-6.443702220916748
304 train 1:-6.140637397766113 | 2:-6.386143207550049
305 train 1:-6.136449337005615 | 2:-6.363872528076172
306 train 1:-6.230733871459961 | 2:-6.403899192810059
