1=-7.8225226402282715|2=-4.699088096618652|3=-2.8167457580566406
1=-7.815500259399414|2=-4.694413185119629|3=-2.817066192626953
1=-7.834742546081543|2=-4.698272705078125|3=-2.822909355163574
1=-7.841470241546631|2=-4.700576305389404|3=-2.8185677528381348
1=-8.16275691986084|2=-4.896015644073486|3=-2.935612201690674
1=-7.701086044311523|2=-4.621661186218262|3=-2.774409294128418
1=-8.130661010742188|2=-4.879037857055664|3=-2.9262123107910156
1=-7.870824813842773|2=-4.7262654304504395|3=-2.831481695175171
1=-7.888973236083984|2=-4.731863498687744|3=-2.8395352363586426
1=-7.75282096862793|2=-4.656347274780273|3=-2.7944891452789307
1=-7.735262870788574|2=-4.645462989807129|3=-2.785539150238037
1=-7.8106536865234375|2=-4.689453601837158|3=-2.809704303741455
1=-8.07374382019043|2=-4.8408403396606445|3=-2.908012866973877
1=-7.650664806365967|2=-4.594354629516602|3=-2.7561604976654053
1=-7.8817267417907715|2=-4.7345499992370605|3=-2.838183879852295
1=-7.669587135314941|2=-4.605697154998779|3=-2.76128888130188
1=-7.920436859130859|2=-4.752412796020508|3=-2.84919810295105
1=-7.895251274108887|2=-4.736427307128906|3=-2.8394036293029785
1=-7.786005020141602|2=-4.675361633300781|3=-2.808333396911621
1=-7.856051445007324|2=-4.706802845001221|3=-2.8301916122436523
1=-7.549533367156982|2=-4.531045436859131|3=-2.7186100482940674
1=-7.769477367401123|2=-4.660701274871826|3=-2.7987112998962402
1=-7.756993293762207|2=-4.654932975769043|3=-2.7968616485595703
1=-7.762813568115234|2=-4.662424087524414|3=-2.7975265979766846
1=-7.830199718475342|2=-4.701975345611572|3=-2.8176565170288086
1=-7.909420967102051|2=-4.74561882019043|3=-2.847900867462158
1=-7.729133605957031|2=-4.642852306365967|3=-2.785910129547119
1=-7.954505920410156|2=-4.776437282562256|3=-2.8662033081054688
1=-7.761094093322754|2=-4.661069869995117|3=-2.794816017150879
1=-7.846203327178955|2=-4.706931114196777|3=-2.8258776664733887
1=-7.865213394165039|2=-4.723174095153809|3=-2.833595037460327
1=-7.823639869689941|2=-4.6958136558532715|3=-2.819636821746826
1=-7.669419288635254|2=-4.606894016265869|3=-2.7650034427642822
1=-7.65333890914917|2=-4.595433235168457|3=-2.755709171295166
1=-7.877829551696777|2=-4.722447395324707|3=-2.836655616760254
1=-7.762662410736084|2=-4.656053066253662|3=-2.795185089111328
1=-7.813415050506592|2=-4.689942359924316|3=-2.8140053749084473
1=-7.921717166900635|2=-4.751344680786133|3=-2.8506665229797363
1=-7.814281940460205|2=-4.691234588623047|3=-2.8157310485839844
1=-7.825815200805664|2=-4.69973087310791|3=-2.818983554840088
1=-7.733885765075684|2=-4.64460563659668|3=-2.7875161170959473
1=-7.942438125610352|2=-4.766883373260498|3=-2.8595194816589355
1=-7.739882946014404|2=-4.647946834564209|3=-2.786750555038452
1=-7.678062915802002|2=-4.607893943786621|3=-2.763517379760742
1=-7.644057273864746|2=-4.586153984069824|3=-2.7547197341918945
1=-8.395492553710938|2=-5.036277770996094|3=-3.018998146057129
1=-7.926987171173096|2=-4.75010347366333|3=-2.853600025177002
1=-7.898196697235107|2=-4.737900257110596|3=-2.8414292335510254
1=-8.096989631652832|2=-4.861539363861084|3=-2.9186666011810303
1=-7.852321624755859|2=-4.7153472900390625|3=-2.830482006072998
1=-7.835251808166504|2=-4.7033305168151855|3=-2.8210203647613525
1=-7.887823104858398|2=-4.735569000244141|3=-2.842165470123291
1=-7.858311653137207|2=-4.714404582977295|3=-2.829117774963379
1=-7.777512073516846|2=-4.670197010040283|3=-2.8025155067443848
1=-7.898921966552734|2=-4.733056545257568|3=-2.8397440910339355
1=-7.915060043334961|2=-4.76017951965332|3=-2.8546063899993896
1=-7.716737747192383|2=-4.635614395141602|3=-2.7802634239196777
1=-7.865360736846924|2=-4.72320556640625|3=-2.8364477157592773
1=-7.778436660766602|2=-4.669061660766602|3=-2.8007631301879883
1=-7.689301013946533|2=-4.617547988891602|3=-2.7715988159179688
1=-7.6057257652282715|2=-4.564506530761719|3=-2.737534284591675
1=-7.7459893226623535|2=-4.64471435546875|3=-2.7875912189483643
1=-7.7727766036987305|2=-4.67064094543457|3=-2.8056674003601074
1=-8.002686500549316|2=-4.804859161376953|3=-2.8837978839874268
1=-7.862618446350098|2=-4.718008041381836|3=-2.8298141956329346
1=-7.998083114624023|2=-4.7985310554504395|3=-2.87600040435791
1=-7.682912349700928|2=-4.608177185058594|3=-2.765010118484497
1=-8.12600326538086|2=-4.878168106079102|3=-2.9268155097961426
1=-7.758352279663086|2=-4.653036117553711|3=-2.7947473526000977
1=-7.89713191986084|2=-4.748014450073242|3=-2.8487911224365234
1=-7.656632423400879|2=-4.598624229431152|3=-2.7588491439819336
1=-8.027097702026367|2=-4.825127601623535|3=-2.8965673446655273
1=-7.791064739227295|2=-4.678849220275879|3=-2.80665922164917
1=-7.569348335266113|2=-4.54507303237915|3=-2.728224515914917
1=-7.497376441955566|2=-4.499231338500977|3=-2.6992549896240234
1=-7.6577043533325195|2=-4.605167865753174|3=-2.761805534362793
1=-7.757532119750977|2=-4.6546831130981445|3=-2.7913358211517334
1=-7.746334075927734|2=-4.646010398864746|3=-2.7881689071655273
1=-7.85468864440918|2=-4.716207504272461|3=-2.83036732673645
1=-7.778326034545898|2=-4.670101642608643|3=-2.803502082824707
1=-7.896320343017578|2=-4.739932060241699|3=-2.844864845275879
1=-7.77370548248291|2=-4.6652326583862305|3=-2.8010454177856445
1=-7.673441410064697|2=-4.607486724853516|3=-2.766162395477295
1=-7.699728965759277|2=-4.6205363273620605|3=-2.7738230228424072
1=-7.605880260467529|2=-4.559683799743652|3=-2.737654447555542
1=-7.535506248474121|2=-4.525393486022949|3=-2.715836763381958
1=-7.7516937255859375|2=-4.653256893157959|3=-2.7933566570281982
1=-7.6622443199157715|2=-4.594467639923096|3=-2.756572723388672
1=-7.764920234680176|2=-4.663151264190674|3=-2.798938512802124
1=-7.770195007324219|2=-4.6651201248168945|3=-2.7964468002319336
1=-7.776700019836426|2=-4.668539047241211|3=-2.8024497032165527
1=-7.497239589691162|2=-4.504025459289551|3=-2.7023282051086426
1=-7.643773078918457|2=-4.5898590087890625|3=-2.75333571434021
1=-7.722578048706055|2=-4.637469291687012|3=-2.783491373062134
1=-7.932538986206055|2=-4.765667915344238|3=-2.85886549949646
1=-7.748376846313477|2=-4.649318695068359|3=-2.7902894020080566
1=-7.783720016479492|2=-4.67034387588501|3=-2.8038222789764404
1=-7.782107830047607|2=-4.669164180755615|3=-2.803750514984131
1=-7.64161491394043|2=-4.586191177368164|3=-2.753258228302002
1=-7.933192253112793|2=-4.764925956726074|3=-2.8576622009277344
1=-7.743950843811035|2=-4.647053241729736|3=-2.7865095138549805
1=-7.702237606048584|2=-4.6208930015563965|3=-2.7723276615142822
1=-7.619380474090576|2=-4.573892593383789|3=-2.7440106868743896
1=-7.884350776672363|2=-4.735327243804932|3=-2.8406100273132324
1=-7.608634948730469|2=-4.570180892944336|3=-2.743852138519287
1=-7.693457126617432|2=-4.616010665893555|3=-2.7710084915161133
1=-7.623715877532959|2=-4.574434280395508|3=-2.7452731132507324
1=-7.660318851470947|2=-4.5993146896362305|3=-2.759981155395508
1=-7.716366291046143|2=-4.632240295410156|3=-2.778266429901123
1=-7.471920967102051|2=-4.483498573303223|3=-2.6907436847686768
1=-7.6836137771606445|2=-4.613948822021484|3=-2.7711613178253174
1=-7.7559967041015625|2=-4.658389568328857|3=-2.7932374477386475
1=-8.066415786743164|2=-4.844698905944824|3=-2.9054532051086426
1=-8.120965957641602|2=-4.875877857208252|3=-2.928356647491455
1=-7.545764923095703|2=-4.532106399536133|3=-2.7184505462646484
1=-7.584478855133057|2=-4.557255744934082|3=-2.7334001064300537
1=-7.67556619644165|2=-4.6083149909973145|3=-2.7656822204589844
1=-7.598644256591797|2=-4.555657386779785|3=-2.731945276260376
1=-7.765158653259277|2=-4.6666364669799805|3=-2.7996230125427246
1=-7.571816444396973|2=-4.546268463134766|3=-2.7302474975585938
1=-7.736159324645996|2=-4.644641399383545|3=-2.785926580429077
1=-7.562844276428223|2=-4.541953086853027|3=-2.727205514907837
1=-7.61875057220459|2=-4.5751953125|3=-2.743168354034424
1=-7.9386887550354|2=-4.766115188598633|3=-2.860391855239868
1=-7.761295318603516|2=-4.661487579345703|3=-2.7988085746765137
1=-7.547552108764648|2=-4.532815933227539|3=-2.71917724609375
1=-7.59992790222168|2=-4.563562870025635|3=-2.738284111022949
1=-7.544980049133301|2=-4.52789831161499|3=-2.7184090614318848
1=-7.6585588455200195|2=-4.597762107849121|3=-2.7583467960357666
1=-7.694737434387207|2=-4.622501850128174|3=-2.7743139266967773
1=-7.596003532409668|2=-4.563036918640137|3=-2.737062454223633
1=-7.477544784545898|2=-4.489565372467041|3=-2.694129467010498
1=-7.580986976623535|2=-4.550365447998047|3=-2.7305736541748047
1=-7.586871147155762|2=-4.551415920257568|3=-2.7307987213134766
1=-7.59505033493042|2=-4.5586771965026855|3=-2.735334634780884
1=-7.566981315612793|2=-4.543890953063965|3=-2.725571870803833
1=-7.692770957946777|2=-4.618320465087891|3=-2.771199941635132
1=-7.453375816345215|2=-4.476876258850098|3=-2.6838834285736084
1=-7.838559150695801|2=-4.7101521492004395|3=-2.8245463371276855
1=-7.6352081298828125|2=-4.584377288818359|3=-2.752567768096924
1=-7.402632236480713|2=-4.441498756408691|3=-2.6653881072998047
1=-7.707918167114258|2=-4.62571907043457|3=-2.7765321731567383
1=-7.629383087158203|2=-4.579453945159912|3=-2.746687412261963
1=-7.935526371002197|2=-4.764124870300293|3=-2.8585939407348633
1=-7.577028274536133|2=-4.54533576965332|3=-2.7324485778808594
1=-7.660173416137695|2=-4.5976457595825195|3=-2.7556605339050293
1=-7.747811794281006|2=-4.647859573364258|3=-2.790572166442871
1=-7.535701751708984|2=-4.524707794189453|3=-2.715712308883667
1=-7.737394332885742|2=-4.642889022827148|3=-2.787140369415283
1=-7.975533485412598|2=-4.787990570068359|3=-2.8715600967407227
1=-7.763417720794678|2=-4.662254333496094|3=-2.796480655670166
1=-7.72700309753418|2=-4.639368057250977|3=-2.784478187561035
1=-7.670032501220703|2=-4.606256484985352|3=-2.762983798980713
1=-7.605558395385742|2=-4.566946029663086|3=-2.7417092323303223
1=-7.60089111328125|2=-4.56423282623291|3=-2.7383875846862793
1=-7.549538612365723|2=-4.534097671508789|3=-2.72145414352417
val 1=-7.586546897888184|2=-4.5517425537109375|3=-2.731811046600342
1=-7.728907585144043|2=-4.640878677368164|3=-2.7833733558654785
1=-7.599066257476807|2=-4.563714981079102|3=-2.7377114295959473
1=-7.745914459228516|2=-4.648872375488281|3=-2.788811683654785
1=-7.694005012512207|2=-4.6200151443481445|3=-2.771178722381592
1=-7.634530067443848|2=-4.583930969238281|3=-2.7514896392822266
1=-7.504897594451904|2=-4.51165771484375|3=-2.7068514823913574
1=-7.633945941925049|2=-4.583736419677734|3=-2.751128673553467
1=-7.693392276763916|2=-4.617720127105713|3=-2.7718629837036133
1=-7.522269248962402|2=-4.518708229064941|3=-2.7105698585510254
1=-7.480649471282959|2=-4.490025520324707|3=-2.696582078933716
1=-7.455958366394043|2=-4.476452350616455|3=-2.683953285217285
1=-7.563492774963379|2=-4.544214248657227|3=-2.7271032333374023
1=-7.423932075500488|2=-4.455646514892578|3=-2.674036979675293
1=-7.520609378814697|2=-4.5169267654418945|3=-2.7078871726989746
1=-7.501865863800049|2=-4.509610176086426|3=-2.7025935649871826
1=-7.7629475593566895|2=-4.659475803375244|3=-2.796006202697754
1=-7.885122299194336|2=-4.737149715423584|3=-2.8413822650909424
1=-7.631176948547363|2=-4.58257532119751|3=-2.7500076293945312
1=-7.607638359069824|2=-4.568875789642334|3=-2.740602493286133
1=-7.618549823760986|2=-4.575107574462891|3=-2.7451415061950684
1=-7.7387518882751465|2=-4.648621559143066|3=-2.7890491485595703
1=-7.497570514678955|2=-4.500185489654541|3=-2.701455593109131
1=-7.806089401245117|2=-4.68821382522583|3=-2.813607931137085
1=-7.658181190490723|2=-4.600817680358887|3=-2.7600696086883545
1=-7.733570098876953|2=-4.643215179443359|3=-2.787508010864258
1=-7.748318195343018|2=-4.651452541351318|3=-2.7909183502197266
1=-7.701834678649902|2=-4.626310348510742|3=-2.7753190994262695
1=-7.578359603881836|2=-4.54825496673584|3=-2.730412006378174
1=-7.574946880340576|2=-4.550460338592529|3=-2.7313218116760254
1=-7.6321492195129395|2=-4.585226058959961|3=-2.752927303314209
1=-7.62470817565918|2=-4.577155113220215|3=-2.745480537414551
1=-7.573828220367432|2=-4.547166347503662|3=-2.7295517921447754
1=-7.655633449554443|2=-4.594490051269531|3=-2.756578207015991
1=-7.595946311950684|2=-4.559675216674805|3=-2.7357583045959473
1=-7.748923301696777|2=-4.650485992431641|3=-2.791123151779175
1=-7.694356918334961|2=-4.620399475097656|3=-2.772282600402832
1=-7.641814708709717|2=-4.587409973144531|3=-2.7546029090881348
1=-7.544989109039307|2=-4.529505729675293|3=-2.718428134918213
1=-7.586398124694824|2=-4.55726432800293|3=-2.734750747680664
1=-7.604853630065918|2=-4.564723014831543|3=-2.7404661178588867
1=-7.59471321105957|2=-4.558826923370361|3=-2.737593173980713
1=-7.598597049713135|2=-4.564467430114746|3=-2.739776134490967
1=-7.445919036865234|2=-4.469458103179932|3=-2.681471824645996
1=-7.75482177734375|2=-4.657410621643066|3=-2.7960407733917236
1=-7.579866886138916|2=-4.547275543212891|3=-2.7294487953186035
1=-7.592430114746094|2=-4.560708999633789|3=-2.7360808849334717
1=-7.60319709777832|2=-4.565727710723877|3=-2.7428464889526367
1=-7.793563365936279|2=-4.6778483390808105|3=-2.806457281112671
1=-7.678900718688965|2=-4.609982490539551|3=-2.7668449878692627
1=-7.529303550720215|2=-4.521294116973877|3=-2.7116641998291016
1=-7.691252708435059|2=-4.619765281677246|3=-2.771463632583618
1=-7.520343780517578|2=-4.518195152282715|3=-2.7122533321380615
1=-7.456308841705322|2=-4.476445198059082|3=-2.6876049041748047
1=-7.516112327575684|2=-4.513990879058838|3=-2.708752155303955
1=-7.549439430236816|2=-4.53380012512207|3=-2.7207202911376953
1=-7.404614448547363|2=-4.446330547332764|3=-2.668590545654297
1=-7.440932750701904|2=-4.4659318923950195|3=-2.680513381958008
1=-7.520337104797363|2=-4.513016700744629|3=-2.7112655639648438
1=-7.5462846755981445|2=-4.533504486083984|3=-2.7186524868011475
1=-7.531136512756348|2=-4.520944595336914|3=-2.714028835296631
1=-7.588645935058594|2=-4.555563926696777|3=-2.7348337173461914
1=-7.60616397857666|2=-4.564827919006348|3=-2.738218307495117
1=-7.401140213012695|2=-4.442044258117676|3=-2.6664905548095703
1=-7.543107032775879|2=-4.53070592880249|3=-2.7164149284362793
1=-7.667154312133789|2=-4.6037092208862305|3=-2.7617478370666504
1=-7.612878799438477|2=-4.570475101470947|3=-2.742328643798828
1=-7.4797492027282715|2=-4.4903364181518555|3=-2.6949968338012695
1=-7.521018981933594|2=-4.514958381652832|3=-2.7112131118774414
1=-7.538902759552002|2=-4.526580810546875|3=-2.716470241546631
1=-7.608093738555908|2=-4.56703519821167|3=-2.740355968475342
1=-7.5254974365234375|2=-4.518692493438721|3=-2.711796998977661
1=-7.386343002319336|2=-4.435615539550781|3=-2.662379264831543
1=-7.561631202697754|2=-4.543113708496094|3=-2.724931001663208
1=-7.686384201049805|2=-4.616646766662598|3=-2.772494316101074
1=-7.722643852233887|2=-4.637106895446777|3=-2.7817633152008057
1=-7.707588195800781|2=-4.625554084777832|3=-2.77679443359375
1=-7.684126377105713|2=-4.614706516265869|3=-2.769021987915039
1=-7.626642227172852|2=-4.5762939453125|3=-2.7474186420440674
1=-7.647945404052734|2=-4.592401027679443|3=-2.7538187503814697
1=-7.713154315948486|2=-4.632694721221924|3=-2.7787585258483887
1=-7.668919563293457|2=-4.605119705200195|3=-2.7638468742370605
1=-7.787286281585693|2=-4.673847198486328|3=-2.8058369159698486
1=-7.550206184387207|2=-4.529423713684082|3=-2.720315933227539
1=-7.628446578979492|2=-4.581146240234375|3=-2.7488088607788086
1=-7.910356521606445|2=-4.748750686645508|3=-2.849544048309326
1=-7.524994373321533|2=-4.52131462097168|3=-2.71344256401062
1=-7.6267781257629395|2=-4.577265739440918|3=-2.7451305389404297
1=-7.769349098205566|2=-4.663203239440918|3=-2.799407482147217
1=-7.282377243041992|2=-4.371553421020508|3=-2.6231689453125
1=-7.553408145904541|2=-4.5354905128479|3=-2.722860813140869
