  312 train 1:6.88836 | 2:7.56525 | 3:7.70631
  313 train 1:6.75802 | 2:7.43886 | 3:7.56951
  314 train 1:6.73968 | 2:7.42549 | 3:7.61866
  315 train 1:6.67494 | 2:7.36787 | 3:7.52263
  316 train 1:6.56319 | 2:7.24330 | 3:7.39218
  317 train 1:6.82772 | 2:7.48961 | 3:7.66800
  318 train 1:6.65944 | 2:7.40182 | 3:7.55882
  319 train 1:6.58758 | 2:7.29306 | 3:7.49278
  320 train 1:6.69075 | 2:7.36215 | 3:7.49735
  321 train 1:6.34898 | 2:7.06986 | 3:7.30384
  322 train 1:6.99530 | 2:7.71451 | 3:7.63219
  323 train 1:6.61492 | 2:7.34671 | 3:7.56931
  324 train 1:6.86066 | 2:7.52831 | 3:7.69522
  325 train 1:6.88746 | 2:7.58589 | 3:7.73334
  326 train 1:6.70151 | 2:7.40114 | 3:7.55772
  327 train 1:6.68761 | 2:7.40477 | 3:7.59354
  328 train 1:6.63596 | 2:7.32350 | 3:7.49582
  329 train 1:6.69924 | 2:7.40834 | 3:7.64202
  330 train 1:7.03487 | 2:7.62555 | 3:7.73905
  331 train 1:6.61301 | 2:7.29336 | 3:7.48555
  332 train 1:6.76372 | 2:7.44730 | 3:7.63171
  333 train 1:6.84829 | 2:7.51673 | 3:7.66696
  334 train 1:6.71363 | 2:7.41983 | 3:7.61648
  335 train 1:6.87635 | 2:7.59815 | 3:7.75362
  336 train 1:6.76251 | 2:7.48086 | 3:7.64196
  337 train 1:6.61945 | 2:7.33668 | 3:7.45231
  338 train 1:6.61556 | 2:7.38604 | 3:7.52170
  339 train 1:6.68469 | 2:7.39746 | 3:7.52038
  340 train 1:6.78224 | 2:7.52415 | 3:7.63952
  341 train 1:6.88705 | 2:7.59536 | 3:7.67707
  342 train 1:6.72747 | 2:7.49675 | 3:7.71230
  343 train 1:6.59715 | 2:7.34427 | 3:7.49849
  344 train 1:6.79287 | 2:7.52337 | 3:7.71095
  345 train 1:7.00113 | 2:7.71203 | 3:7.81617
  346 train 1:6.68188 | 2:7.39991 | 3:7.52345
  347 train 1:6.76142 | 2:7.46561 | 3:7.59451
  348 train 1:6.59190 | 2:7.36086 | 3:7.45861
  349 train 1:7.01521 | 2:7.72004 | 3:7.93895
  350 train 1:6.46224 | 2:7.27339 | 3:7.42873
  351 train 1:6.34264 | 2:7.12056 | 3:7.38000
  352 train 1:6.53938 | 2:7.27708 | 3:7.46139
  353 train 1:6.58794 | 2:7.35602 | 3:7.54324
  354 train 1:6.80759 | 2:7.54372 | 3:7.70483
  355 train 1:6.53219 | 2:7.29335 | 3:7.44272
  356 train 1:6.53338 | 2:7.31448 | 3:7.46170
  357 train 1:6.53066 | 2:7.28707 | 3:7.50588
  358 train 1:6.61248 | 2:7.40165 | 3:7.54451
  359 train 1:6.62287 | 2:7.35889 | 3:7.49971
  360 train 1:6.77229 | 2:7.49149 | 3:7.56751
  361 train 1:6.40074 | 2:7.19791 | 3:7.47963
  362 train 1:6.67538 | 2:7.45729 | 3:7.62068
  363 train 1:6.48404 | 2:7.27712 | 3:7.52354
  364 train 1:6.45773 | 2:7.23712 | 3:7.45138
  365 train 1:6.56291 | 2:7.34539 | 3:7.53440
  366 train 1:6.68503 | 2:7.41232 | 3:7.57410
  367 train 1:6.61322 | 2:7.38578 | 3:7.54957
  368 train 1:6.56396 | 2:7.32525 | 3:7.55674
  369 train 1:6.42411 | 2:7.21005 | 3:7.39678
  370 train 1:6.52393 | 2:7.29892 | 3:7.59118
  371 train 1:6.61139 | 2:7.37668 | 3:7.54378
  372 train 1:6.47975 | 2:7.23934 | 3:7.50927
  373 train 1:6.51974 | 2:7.23920 | 3:7.50589
  374 train 1:6.97768 | 2:7.47714 | 3:7.30856
  375 train 1:6.69625 | 2:7.48029 | 3:7.67991
  376 train 1:6.64302 | 2:7.41033 | 3:7.57768
  377 train 1:6.69969 | 2:7.44112 | 3:7.65195
  378 train 1:6.64772 | 2:7.40344 | 3:7.52136
  379 train 1:6.64024 | 2:7.42576 | 3:7.56731
  380 train 1:6.53103 | 2:7.32479 | 3:7.48976
  381 train 1:6.71195 | 2:7.47847 | 3:7.59494
  382 train 1:6.34264 | 2:7.10715 | 3:7.29049
  383 train 1:6.60498 | 2:7.37260 | 3:7.56984
  384 train 1:6.59291 | 2:7.36153 | 3:7.50062
  385 train 1:6.68558 | 2:7.44329 | 3:7.58811
  386 train 1:6.77142 | 2:7.48159 | 3:7.61573
  387 train 1:6.34929 | 2:7.15812 | 3:7.32582
  388 train 1:6.68565 | 2:7.49797 | 3:7.63296
  389 train 1:6.82772 | 2:7.57636 | 3:7.67700
  390 train 1:6.64085 | 2:7.40838 | 3:7.56142
  391 train 1:6.56934 | 2:7.38009 | 3:7.46846
  392 train 1:6.79609 | 2:7.56400 | 3:7.77253
  393 train 1:6.77131 | 2:7.50755 | 3:7.62913
  394 train 1:6.32596 | 2:7.17334 | 3:7.42755
  395 train 1:6.62498 | 2:7.46595 | 3:7.63789
  396 train 1:6.58416 | 2:7.38183 | 3:7.53911
  397 train 1:6.56188 | 2:7.38369 | 3:7.51290
  398 train 1:6.24529 | 2:7.06827 | 3:7.23185
  399 train 1:6.42821 | 2:7.29054 | 3:7.53872
  400 train 1:6.50246 | 2:7.32179 | 3:7.50990
  401 train 1:6.62931 | 2:7.40581 | 3:7.64467
  402 train 1:6.58973 | 2:7.40621 | 3:7.53315
  403 train 1:6.57467 | 2:7.38607 | 3:7.66279
  404 train 1:6.47803 | 2:7.33230 | 3:7.60691
  405 train 1:6.39424 | 2:7.19581 | 3:7.41905
  406 train 1:6.54218 | 2:7.25182 | 3:7.34785
  407 train 1:6.47501 | 2:7.28760 | 3:7.58181
  408 train 1:6.36496 | 2:7.22618 | 3:7.47777
  409 train 1:6.53053 | 2:7.33615 | 3:7.56174
  410 train 1:7.15374 | 2:7.83823 | 3:7.91677
  411 train 1:6.55209 | 2:7.38817 | 3:7.59924
  412 train 1:6.67607 | 2:7.46617 | 3:7.67007
  413 train 1:6.51428 | 2:7.34337 | 3:7.52348
  414 train 1:6.48178 | 2:7.28089 | 3:7.47689
  415 train 1:6.46745 | 2:7.27560 | 3:7.46297
  416 train 1:6.57614 | 2:7.39025 | 3:7.56216
  417 train 1:6.44756 | 2:7.26553 | 3:7.42668
  418 train 1:6.96201 | 2:7.72836 | 3:7.79973
  419 train 1:6.61249 | 2:7.42673 | 3:7.56915
  420 train 1:6.44860 | 2:7.25165 | 3:7.39237
  421 train 1:6.58322 | 2:7.37269 | 3:7.54508
  422 train 1:6.49085 | 2:7.28421 | 3:7.39887
  423 train 1:6.45985 | 2:7.28410 | 3:7.49982
  424 train 1:6.58501 | 2:7.42664 | 3:7.55088
  425 train 1:6.34172 | 2:7.18350 | 3:7.38750
  426 train 1:6.76788 | 2:7.61226 | 3:7.73092
  427 train 1:6.61378 | 2:7.43162 | 3:7.56390
  428 train 1:6.56452 | 2:7.40724 | 3:7.54257
  429 train 1:6.44497 | 2:7.30311 | 3:7.53988
  430 train 1:6.53993 | 2:7.37733 | 3:7.55332
  431 train 1:6.54169 | 2:7.32304 | 3:7.43511
  432 train 1:6.60625 | 2:7.38242 | 3:7.48787
  433 train 1:6.55463 | 2:7.36419 | 3:7.51070
  434 train 1:6.43382 | 2:7.26951 | 3:7.42987
  435 train 1:6.32912 | 2:7.18239 | 3:7.34635
  436 train 1:6.37739 | 2:7.21181 | 3:7.34522
  437 train 1:6.78323 | 2:7.57754 | 3:7.61958
  438 train 1:6.45230 | 2:7.28476 | 3:7.44185
  439 train 1:6.43581 | 2:7.28109 | 3:7.42394
  440 train 1:6.45378 | 2:7.27993 | 3:7.38630
  441 train 1:6.53522 | 2:7.34640 | 3:7.40073
  442 train 1:6.51308 | 2:7.33502 | 3:7.43202
  443 train 1:6.28976 | 2:7.14071 | 3:7.25715
  444 train 1:6.26936 | 2:7.15771 | 3:7.30461
  445 train 1:6.53010 | 2:7.30977 | 3:7.40642
  446 train 1:6.31322 | 2:7.13070 | 3:7.24731
  447 train 1:6.27370 | 2:7.18536 | 3:7.38111
  448 train 1:6.38640 | 2:7.22548 | 3:7.36280
  449 train 1:6.27601 | 2:7.20004 | 3:7.55002
  450 train 1:6.46467 | 2:7.32649 | 3:7.54862
  451 train 1:6.64649 | 2:7.48163 | 3:7.69529
  452 train 1:6.50303 | 2:7.34492 | 3:7.57241
  453 train 1:6.46312 | 2:7.37721 | 3:7.49744
  454 train 1:6.36050 | 2:7.23430 | 3:7.40912
  455 train 1:6.37773 | 2:7.30809 | 3:7.54811
  456 train 1:6.38960 | 2:7.35889 | 3:7.55151
  457 train 1:6.39478 | 2:7.28417 | 3:7.45591
  458 train 1:6.56098 | 2:7.39722 | 3:7.49432
  459 train 1:6.46085 | 2:7.34962 | 3:7.53521
  460 train 1:6.22758 | 2:7.14823 | 3:7.29934
  461 train 1:6.26766 | 2:7.13256 | 3:7.31052
  462 train 1:6.43750 | 2:7.21023 | 3:7.34015
  463 train 1:6.47770 | 2:7.34162 | 3:7.46643
